movieId,movieTitle,movieRelease,revenue,audience,screen,screening ,movieNation,movieGrade,movieGenre,movieDirector,movieActors
1079,소설의 신,2022-05-17,"6,495,000","1,206",5,50,일본,12세이상관람가,드라마,쿠보 시게아키,하시모토 칸나
1080,아이언 크로스: 노르망디 상륙작전,2022-07-21,"6,047,000","1,205",50,63,미국,15세이상관람가,"전쟁,액션",티노 스트럭맨,"티노 스트럭맨,올리비에 그루너,데미안 샤파"
1081,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,"10,631,278","131,080",4,47,일본,15세이상관람가,애니메이션,히시다 마사카즈,"남도형,우치다 유우마,엄상현,이원찬,정주원,이정민,한신,황창영,김현욱,탁원정,이경태,심승한,사성웅,이규창"
1083,앵그리 애니,2023-11-01,"12,998,306","1,192",21,155,프랑스,12세이상관람가,드라마,블란딘 르누아르,로르 칼라미
1088,나나,2022-12-15,"9,761,499","1,184",21,259,인도네시아,15세이상관람가,드라마,,
1089,스파이 캣,2021-12-09,"5,915,000","7,495",2,10,독일,전체관람가,애니메이션,"크리스토프 라우엔슈타인,울프강 라우엔슈타인",
1090,가버나움,2019-01-24,"9,490,000","148,311",1,21,기타,15세이상관람가,드라마,나딘 라바키,"자인 알 라피아,요르다노스 시프로우,보루와티프 트레저 반콜,나딘 라바키"
1091,플레이 뮤지컬 핑크퐁과 아기상어의 생일파티 대소동,2023-05-17,"14,158,500","1,178",27,131,한국,전체관람가,"공연,뮤지컬",김민석,
1092,동백,2021-10-21,"8,320,000","19,086",1,26,한국,12세이상관람가,"드라마,가족,전쟁",신준영,"박근형,신복숙,정선일,서준영,주아름,양준,최미교,안영주,김효선,백승익,윤서연,이우신,양재원,오미라,두진성,김학선,박윤호,박승재,이준상,김동윤,손수아,안도원,강유리,나지인,황현태,송유정,황인혜,고훈목,김두혁,김흥중,배종수,홍화연,양은순,유숙주,서윤지,이유정,심재원,최정수,서홍석,이윤호,김산,박현정,백동섭,홍주완,민도영,김판겸,양다원,김서준,정한구,김명호,강현우,김민규,홍주환"
1093,엑시트,2019-07-31,"9,402,000","9,427,588",34,185,한국,12세이상관람가,"코미디,액션",이상근,"조정석,임윤아,고두심,박인환,김지영,강기영,오희준,배유람,유수빈,조성희,주보비,김강현,정민성,박성일,신세휘,김경룡,김강훈,강덕중,강충훈,박상혁,곽민규,민대웅,권혁주,박윤희,박윤희,박정환,박주홍,설도희,배해선,백현익,신철진,양지혜,김병순,오누리,김상보,윤대열,오유진,김서율,김선호,김수연,김현수,김현수,이정인,정재은,임희수,최서현,정지우,최성윤,김형기,이선우,이성수,이성훈,조성동,김호정,조예린,김종구,황슬기,조윤호,전혜원,이찬유,조은성,최재영,최재영,이수정,김주아,강기영,김준수,이경오,주보비,주보비,최진영,고두심,곽새빛,곽호중,권상혁,최현아,권은빈,최혜인,기상원,채서원,김한솔,이동휘,이동희,이랑서,김태한,임종현,이창진,김이석,한우리,이화정,이봉련,김환영,김태환,주예서,김태율,정우영,정새다솜,정윤지,채승혜,슈기(최슬기),천대만,윤해빈,이채원,이재국,이학광,최영도,이현하,박재랑,이용탁,박채익,반혜라,탁트인,손현준,장서우,송원수,변건우,한서율,한승효,황지현,황효은,한윤식,허철,허형규,홍나현,강경수,김보성"
